Duration: 1.33s
         7365546 function calls (7364887 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2867(GreedyRepeat)
        2    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
    26/16    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       15    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 __init__.py:1353(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1465(_clear_cache)
       15    0.000    0.000    0.000    0.000 _regex_core.py:3627(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:2285(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1287(_StderrHandler)
       34    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        4    0.000    0.000    0.000    0.000 _regex_core.py:1425(parse_property_name)
        4    0.000    0.000    0.002    0.000 __init__.py:226(compile)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        2    0.000    0.000    0.000    0.000 _regex_core.py:803(parse_paren)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3431(Sequence)
       10    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        2    0.000    0.000    0.000    0.000 __init__.py:450(validate)
        8    0.000    0.000    0.000    0.000 _regex_core.py:2902(get_firstset)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1877(RegexBase)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2003(Atomic)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2715(Fuzzy)
       15    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1102(parse_subpattern)
        1    0.000    0.000    0.000    0.000 __init__.py:436(PercentStyle)
       11    0.000    0.000    0.000    0.000 _regex_core.py:2400(_flush_set_members)
        2    0.000    0.000    0.000    0.000 _regex_core.py:335(_compile_firstset)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3378(RefGroup)
        2    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        2    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 enum.py:1584(__invert__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3147(LookAroundConditional)
        3    0.000    0.000    0.000    0.000 regex.py:471(complain_unused_args)
        1    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
